16,40,40,DERIVED,"lock3_census (Rust), data/runs/lock3_C16_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
17,43,43,DERIVED,"lock3_census (Rust), data/runs/lock3_C17_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
18,45,45,DERIVED,"lock3_census (Rust), data/runs/lock3_C18_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
19,48,48,DERIVED,"lock3_census (Rust), data/runs/lock3_C19_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
20,50,50,DERIVED,"lock3_census (Rust), data/runs/lock3_C20_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
21,53,53,DERIVED,"lock3_census (Rust), data/runs/lock3_C21_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
22,55,55,DERIVED,"lock3_census (Rust), data/runs/lock3_C22_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
23,57,57,DERIVED,"lock3_census (Rust), data/runs/lock3_C23_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
24,60,60,DERIVED,"lock3_census (Rust), data/runs/lock3_C24_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
25,62,62,DERIVED,"lock3_census (Rust), data/runs/lock3_C25_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
26,65,65,DERIVED,"lock3_census (Rust), data/runs/lock3_C26_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
27,67,67,DERIVED,"lock3_census (Rust), data/runs/lock3_C27_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
28,69,69,DERIVED,"lock3_census (Rust), data/runs/lock3_C28_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
29,72,72,DERIVED,"lock3_census (Rust), data/runs/lock3_C29_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
30,74,74,DERIVED,"lock3_census (Rust), data/runs/lock3_C30_N2000_residue_m1_lineage_cohorts_20260524_011324/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
31,77,77,DERIVED,"lock3_census (Rust), data/runs/lock3_C31_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
32,79,79,DERIVED,"lock3_census (Rust), data/runs/lock3_C32_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
33,81,81,DERIVED,"lock3_census (Rust), data/runs/lock3_C33_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
34,84,84,DERIVED,"lock3_census (Rust), data/runs/lock3_C34_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
35,86,86,DERIVED,"lock3_census (Rust), data/runs/lock3_C35_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
36,89,89,DERIVED,"lock3_census (Rust), data/runs/lock3_C36_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
37,91,91,DERIVED,"lock3_census (Rust), data/runs/lock3_C37_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
38,93,93,DERIVED,"lock3_census (Rust), data/runs/lock3_C38_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
39,96,96,DERIVED,"lock3_census (Rust), data/runs/lock3_C39_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
40,98,98,DERIVED,"lock3_census (Rust), data/runs/lock3_C40_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
41,101,101,DERIVED,"lock3_census (Rust), data/runs/lock3_C41_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
42,103,103,DERIVED,"lock3_census (Rust), data/runs/lock3_C42_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
43,106,106,DERIVED,"lock3_census (Rust), data/runs/lock3_C43_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
44,108,108,DERIVED,"lock3_census (Rust), data/runs/lock3_C44_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
45,110,110,DERIVED,"lock3_census (Rust), data/runs/lock3_C45_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
46,113,113,DERIVED,"lock3_census (Rust), data/runs/lock3_C46_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
47,115,115,DERIVED,"lock3_census (Rust), data/runs/lock3_C47_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
48,118,118,DERIVED,"lock3_census (Rust), data/runs/lock3_C48_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
49,120,120,DERIVED,"lock3_census (Rust), data/runs/lock3_C49_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
50,122,122,DERIVED,"lock3_census (Rust), data/runs/lock3_C50_N2000_residue_m1_lineage_cohorts_20260524_011632/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
